original_text,en_token_1,auto_pos_1,gold_pos_1,en_token_2,auto_pos_2,gold_pos_2,en_token_3,auto_pos_3,gold_pos_3,en_token_4,auto_pos_4,gold_pos_4,en_token_5,auto_pos_5,gold_pos_5,en_token_6,auto_pos_6,gold_pos_6,en_token_7,auto_pos_7,gold_pos_7,en_token_8,auto_pos_8,gold_pos_8,en_token_9,auto_pos_9,gold_pos_9,en_token_10,auto_pos_10,gold_pos_10,en_token_11,auto_pos_11,gold_pos_11,en_token_12,auto_pos_12,gold_pos_12,en_token_13,auto_pos_13,gold_pos_13,en_token_14,auto_pos_14,gold_pos_14,en_token_15,auto_pos_15,gold_pos_15
新一頁新目標，要愛人先要多啲愛自己啊，你仲後生，擴闊啲自己視野，加油cheer up!,cheer,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"support you 見到你差D喊,真係好心痛 but cheer up the best is yet to come",support,VERB,,cheer,VERB,,yet,VERB,,come,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我覺得你啲片好好睇同埋幾inspiring 加油啊 希望你快啲揾返自己嘅開心自信嘅一面 be a better self,inspiring,VERB,,better,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一直以來都好中意睇你嘅片，俾我感覺好親切好nice，係個好堅強嘅女仔，所以我相信你可以勇敢面對，有個開開心心嘅生活，支持你,nice,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實你已經inspired 緊好多人，支持你,inspired,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
congrats!!由jenn拍謝師宴outfit睇到依家共同成長so happy for u!!,congrats,NOUN,,jenn,NOUN,,outfit,NOUN,,so,NOUN,,happy,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講得好details 可唔可以拍多d,details,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恭喜你呀! 希望你每日都幸福快樂. from一個由花花牆紙開始睇既小觀眾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"恭喜你呀Jenn, 好開心你搵到一個咁適合嘅終身伴侶，人真係一凹一凸，大家性格互補，我非常欣賞你老公個propose planning deck!! 期待未來繼續同你一齊分享更多你人生嘅體驗，幸福快樂",Jenn,PROPN,,propose,NOUN,,planning,VERB,,deck,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
能看出来你整个人都在glowing，好的relationship果然可以滋润人。恭喜,glowing,NOUN,,relationship,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仲幾得第一條片係中學grad din真係好快 透過網絡世界同另外一個人一齊長大進步真係好神奇 祝你keep ju幸福快樂,grad,PROPN,,din,PROPN,,keep,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好sweet吖,sweet,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聽到都戥你開心嘅video,video,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雖然唔係first但都即刻入黎睇！！係ig見到等左兩日好期待 呢部傳說中既新相機真係好清睇得好舒服 個粉底好似真係好jeng咁 成個妝都好靚,first,PROPN,,ig,PROPN,,jeng,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好鐘意你平時outlook and Vlog ，可以拍多點呢兩類video就好了,Vlog,PROPN,,outlook,NOUN,,video,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你真係對我影響最大既youtuber。由中學到大學follow佐你好多年,youtuber,NOUN,,follow,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個foundation好正啊！好想要,foundation,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可以多d分享ootd嗎,ootd,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可以分享連身裙link？,link,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10年前韓國event係唔係同小花 花花去戈次,event,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG 都無咩Update,IG,PROPN,,Update,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢條片都已經係四年前點解唔可以係人地upload上去百度？,upload,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"爆good3係我睇過禁多化妝片以黎,最精彩细緻既一段片",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
係呢類睇洛自然少少既colour con,colour,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ding ding:你呢副con好令,我揾左好耐刀揾唔到__",ding,VERB,,con,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可以post下你講嘅果個video嗎? 我想知脂肪同你支lip stick,post,VERB,,video,NOUN,,lip,ADJ,,stick,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後14:54這裡你突然mark個標籤出來，好似睇緊之前那套入住請敲門咁XD,mark,NOUN,,XD,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方便請問可以看到金字塔的HOTEL嗎,HOTEL,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一po咗片就全世界都知Wing同埋朋友食咗3個餸咁勁喇,po,NOUN,,Wing,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支持兩個好搞笑既女仔 個婆婆勁搞笑呀個反應 仲周圍同人講佢兩個好大食呀！！！ 不過姐姐話佢Mum係兩個女仔Fans都勁好笑！Mum可唔可以留言讚返自己個姐姐 認得阿Wing咁搞笑。香港其實真係好靚只係某D人 唉,Mum,PROPN,,Fans,PROPN,,Wing,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非常Nice&cute的旅行日誌，欣賞,Nice,PROPN,,cute,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有啲人comment 話特登拍片去踩大陸餐廳，又話專登去食啲大陸人劣質餐廳，咁有無諗過就係香港宜家就係開左咁多低檔次既大陸連鎖店，開到周街都係，所以咪對大陸連鎖店印象咁差囉,comment,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
串燒店嗰度直接講普通話啦 已經有嗰種feel啦,feel,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第一次睇你 channel，subscribed.,channel,PROPN,,subscribed,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未睇完個intro就已經覺得個肚好唔舒服,intro,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢勁就勁在，聽得出佢會用番中文既logic 去講廣東話 而唔係用英文去translate 番句廣東話句式出黎,logic,ADJ,,translate,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"連最困難既助語詞。。。呀，呢，wor, lor...都學得咁地道。絕對勁! 大讚! Respect!",wor,NOUN,,lor,NOUN,,Respect,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勁過好多ABC，BBC，CBC等。,ABC,PROPN,,BBC,PROPN,,CBC,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"真係做得好好嘅妳學廣東話啦！我家下睇過a few of your videos, 妳嘅口音就真係又grand又clear.",few,NOUN,,videos,NOUN,,grand,NOUN,,clear,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我系广东人，广东话唔系我嘅母语，anyway都学到宜家第5年啦，睇到深圳变成个捞佬地，广州东莞大把本地细佬仔唔使广东话，真系惊变成深圳咁，要learn埋香港人一样保护好广东话文化，多谢香港人企出黎保护呢个文化。support你地同apple,anyway,NOUN,,learn,VERB,,support,NOUN,,apple,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講得好好啊Grace!之前都有follow你channel !希望更多人認識你,Grace,PROPN,,follow,VERB,,channel,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好sweet ar 你們倆個,sweet,ADJ,,ar,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
想睇kitchen tour,kitchen,NOUN,,tour,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好鍾意你張粉紅色餐櫈呀快d拍個house tour介紹下邊度買,house,NOUN,,tour,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
睇你切菜個part好療癒 出多d整野食片la,part,PROPN,,la,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So SWEET!! 笑住咁睇哂成條片，真係好甜啊你地 btw生根魚片頭正 (y) 我火鍋必食係竽絲:P,SWEET,PROPN,,So,PROPN,,btw,VERB,,y,NOUN,,P,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
睇咗好多人嘅Hermes開箱片都冇想買嘅慾望，但係睇你呢條片即刻好有衝動去買 雖然本身睇之前冇咩好感 btw好 appreciate你會打埋價錢,Hermes,PROPN,,btw,VERB,,appreciate,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
